,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
10659,"boxersforlife: hey @betoorourke since you2\x80\x99re all about the #metoo movement and believing all women, @lgjustinfairfax the lt. governor o2\x806'",2019-10-15 22:55:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10660,"repescobar: two years ago, the #metoo movement changed us. it has become part of our national consciousness, demanding better for survi2\x806'",2019-10-15 22:55:00,0.107,0.73,0.163,0.25,positive,"{'two', 'years', 'movement'}"
10661,alyssa_milano: .@taranaburke2\x80\x99s work has been a blessing to women throughout the world. she is our fearless leader and my sweet friend.2\x806',2019-10-15 22:55:00,0.0,0.448,0.552,0.9062,positive,{'women'}
10662,taranaburke: the rate of sexual violence in indigenous communities is beyond alarming and they are the group with the largest number of2\x806',2019-10-15 22:55:00,0.331,0.592,0.077,-0.6486,negative,{'sexual'}
10663," @kamalaharris: for years, @taranaburke led the #metoo movement. it wasn't until this day in 2017 that sexual assault survivors worldwide2\x806""",2019-10-15 22:55:00,0.241,0.759,0.0,-0.5859,negative,{'sexual'}
10664,olivier_patti: @b52malmet \n@northeast_mama \n@nycanegirl @drdind \n@shelbykstewart \n@surrenderpotus \n@laureldavilacpa \n@cajunblueaz1 \n@ja2\x806',2019-10-15 22:55:00,0.0,1.0,0.0,0.0,neutral,set()
10665,"b""a volunteer for warren, i'm doing all i can to see a qualified female president who has a personal connection to an2\x806 https://t.co/em9bfpjgi1""",2019-10-15 22:55:00,0.0,1.0,0.0,0.0,neutral,set()
10666,"nora4usa: on the 2nd anniversary of #metoo\xc20 going viral, @senatemajldr could have called a vote on the violence against women renewal a2\x806'",2019-10-15 22:55:00,0.227,0.773,0.0,-0.6249,negative,{'women'}
10667,ap: the founder of #metoo is launching a new effort intended to mobilize voters heading into the 2020 election using the hashtag #metoo2\x806',2019-10-15 22:55:00,0.0,1.0,0.0,0.0,neutral,set()
10668,nomoreorg: this week marks the 2nd anniversary of the #metoo hashtag2\x80\x94the beginning of a monumental shift towards exposing &amp; eliminating2\x806',2019-10-15 22:55:00,0.116,0.884,0.0,-0.2732,negative,set()
10669,"nora4usa: on the 2nd anniversary of #metoo\xc20 going viral, @senatemajldr could have called a vote on the violence against women renewal a2\x806'",2019-10-15 22:55:00,0.227,0.773,0.0,-0.6249,negative,{'women'}
10670," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:55:00,0.0,0.706,0.294,0.6124,positive,set()
10671,"ilhan: to the silence breakers2\x80\x93tarana burke, chanel miller, aly raisman, susan fowler, gretchen carlson, ashley judd, anita hill, chris2\x806'",2019-10-15 22:54:00,0.0,1.0,0.0,0.0,neutral,set()
10672," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:54:00,0.0,0.706,0.294,0.6124,positive,set()
10673," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:54:00,0.0,0.706,0.294,0.6124,positive,set()
10674,"ellemagazine: in the aftermath of #metoo, this year2\x80\x99s #ellewih honorees are defined by the question: where do we go from here? #ellewih2\x806'",2019-10-15 22:54:00,0.0,0.769,0.231,0.5106,positive,set()
10675,"read about #metoo, disinformation and women\'s advocated in this month\'s ""in the news."" #mwpvisionaries https://t.co/mf89fyuaqk'",2019-10-15 22:54:00,0.0,1.0,0.0,0.0,neutral,set()
10676,"ilhan: to the silence breakers2\x80\x93tarana burke, chanel miller, aly raisman, susan fowler, gretchen carlson, ashley judd, anita hill, chris2\x806'",2019-10-15 22:54:00,0.0,1.0,0.0,0.0,neutral,set()
10677,if you hate @billburr you most likely won2\x80\x99t like me whatsoever. don2\x80\x99t @ me. not sorry. #billburr #billyboy #manup2\x806 https://t.co/tkk9chpb71',2019-10-15 22:54:00,0.222,0.667,0.111,-0.3612,negative,set()
10678,alyssa_milano: two years ago today this tweet went viral. #metoo https://t.co/lap37qt2nu',2019-10-15 22:54:00,0.0,1.0,0.0,0.0,neutral,"{'two', 'years'}"
10679,"luxymoo: hey kai, remember when i told you my metoo story because our stories were so similar and asked you to keep it confidential, an2\x806'",2019-10-15 22:54:00,0.0,1.0,0.0,0.0,neutral,{'metoo'}
10680," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:54:00,0.0,0.706,0.294,0.6124,positive,set()
10681,"ellemagazine: in the aftermath of #metoo, this year2\x80\x99s #ellewih honorees are defined by the question: where do we go from here? #ellewih2\x806'",2019-10-15 22:53:00,0.0,0.769,0.231,0.5106,positive,set()
10682," @time: two years ago, @alyssa_milano tweeted, 2\x80\x9cif you've been sexually harassed or assaulted write 2\x80\x98me too2\x80\x99 as a reply to this tweet.2\x80\x9d s2\x806""",2019-10-15 22:53:00,0.257,0.743,0.0,-0.7845,negative,"{'two', 'years'}"
10683,time: the phrase #metoo was first used more than a decade ago by @taranaburke. while the 2017 reckoning appeared to have sprung up over2\x806',2019-10-15 22:53:00,0.0,1.0,0.0,0.0,neutral,set()
10684,"""dear sita, i have now written your story...a timeless story &amp; a story for our time. your life &amp; courage...speak cl2\x806 https://t.co/qi3qvae9bd'",2019-10-15 22:53:00,0.0,0.721,0.279,0.7003,positive,set()
10685,"ellemagazine: in the aftermath of #metoo, this year2\x80\x99s #ellewih honorees are defined by the question: where do we go from here? #ellewih2\x806'",2019-10-15 22:53:00,0.0,0.769,0.231,0.5106,positive,set()
10686,"nora4usa: on the 2nd anniversary of #metoo\xc20 going viral, @senatemajldr could have called a vote on the violence against women renewal a2\x806'",2019-10-15 22:53:00,0.227,0.773,0.0,-0.6249,negative,{'women'}
10687,peoplesoracle: #demdebate tonight while the moon is in aries? watch the women candidates spar big time tonight. i think women will defi2\x806',2019-10-15 22:53:00,0.0,1.0,0.0,0.0,neutral,{'women'}
